NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,SampleDateUTC,Centric diatom,Ciliate,Cyanobacteria,Dinoflagellate,Flagellate,Foraminifera,Pennate diatom,Radiozoa,Silicoflagellate
NRSPHB20200831,Port Hacking,-34.11923,151.22667,2020-09-01T09:44:00Z,2020,9,1,09:44:00,2020-08-31T23:44:00Z,2127932424.575,72992880.15625,0,8874991.75,26376266.0416667,0,3100000,0,2045305.98958333
NRSROT20200825,Rottnest Island,-32,115.41667,2020-08-25T10:40:00Z,2020,8,25,10:40:00,2020-08-25T02:40:00Z,30616959.4277244,9099732.90898504,0,9999564.36133672,22689261.1111111,0,8807172.41410256,0,104887.486645299
NRSNSI20200817,North Stradbroke,-27.345,153.562,2020-08-18T09:50:00Z,2020,8,18,09:50:00,2020-08-17T23:50:00Z,482570159.433774,473552.449468996,0,1937260.02055498,4204123.30849606,0,6517467.04220195,0,0
NRSPHB20200812,Port Hacking,-34.11923,151.22667,2020-08-13T09:55:00Z,2020,8,13,09:55:00,2020-08-12T23:55:00Z,46988911.2295238,4639410.35228571,0,25872818.7641905,17205441.2333333,0,312380.952380952,0,467498.511904762
NRSDAR20200810,Darwin,-12.4,130.76805,2020-08-11T08:25:00Z,2020,8,11,08:25:00,2020-08-10T22:55:00Z,205982448.949377,18119927.7429907,0,7859847.13084112,0,0,31398251.7254673,0,509733.579958463
NRSMAI20200810,Maria Island,-42.59667,148.23333,2020-08-10T10:05:00Z,2020,8,10,10:05:00,2020-08-10T00:05:00Z,30768731.4375,8591430.52760417,0,24882701.7958333,26001638.7063657,0,2948127.26166667,0,466578.474833333
NRSYON20200802,Yongala,-19.30847,147.61842,2020-08-03T09:15:00Z,2020,8,3,09:15:00,2020-08-02T23:15:00Z,49420933.156901,6033652.66927083,0,5353820.22907986,15453423.0324074,0,3501842.171875,27270.7465277778,0
NRSROT20200730,Rottnest Island,-32,115.41667,2020-07-30T09:27:00Z,2020,7,30,09:27:00,2020-07-30T01:27:00Z,146249319.256667,8678642.375,0,7865284.724,26747148.1944444,0,34436224.8104,0,654497.916666667
NRSNSI20200720,North Stradbroke,-27.345,153.562,2020-07-20T10:30:00Z,2020,7,20,10:30:00,2020-07-20T00:30:00Z,574956065.69819,1030900.19636257,0,20099736.5850134,10160552.3353495,0,26632396.0433468,0,412360.078545027
NRSYON20200710,Yongala,-19.30847,147.61842,2020-07-11T09:25:00Z,2020,7,11,09:25:00,2020-07-10T23:25:00Z,295892113.321053,14381266.6475292,8437649.35263158,8648595.17941521,999659.449561404,0,10997055.6912281,0,0
NRSROT20200710,Rottnest Island,-32,115.41667,2020-07-10T10:25:00Z,2020,7,10,10:25:00,2020-07-10T02:25:00Z,190147822.129061,3615439.8805766,0,21621279.1772727,22766941.4194024,0,20851846.5631313,0,884484.517929293
NRSPHB20200630,Port Hacking,-34.11923,151.22667,2020-07-01T09:18:00Z,2020,7,1,09:18:00,2020-06-30T23:18:00Z,1032944791.27183,9522682.88833333,0,22193134.237,5456418.23166667,0,36762887.5,0,409061.197916667
NRSMAI20200628,Maria Island,-42.59667,148.23333,2020-06-29T09:45:00Z,2020,6,29,09:45:00,2020-06-28T23:45:00Z,2051850.96875,10110520.1921875,0,15801606.781881,31099193.1331101,0,556562.5,0,57517.2769166667
NRSNSI20200625,North Stradbroke,-27.345,153.562,2020-06-25T10:35:00Z,2020,6,25,10:35:00,2020-06-25T00:35:00Z,496483703.018878,0,0,10454244.8769231,8835721.875,0,24736021.0769231,0,0
NRSYON20200611,Yongala,-19.30847,147.61842,2020-06-12T09:09:00Z,2020,6,12,09:09:00,2020-06-11T23:09:00Z,497700104.55574,16168647.0764116,0,12612522.1387755,7546761.69217687,170970.884353742,10297674.0545918,0,0
NRSPHB20200609,Port Hacking,-34.11923,151.22667,2020-06-10T09:32:00Z,2020,6,10,09:32:00,2020-06-09T23:32:00Z,167000395.783281,13621319.0119583,1675514.66666667,18967565.1058526,11730616.5064103,0,5551431.5740625,0,262047.875875
NRSROT20200605,Rottnest Island,-32,115.41667,2020-06-05T09:13:00Z,2020,6,5,09:13:00,2020-06-05T01:13:00Z,185948808.106061,10117942.7935606,0,8120486.55166667,28559909.0909091,0,36691857.430303,0,813465.543989899
NRSNSI20200528,North Stradbroke,-27.345,153.562,2020-05-28T11:00:00Z,2020,5,28,11:00:00,2020-05-28T01:00:00Z,217100112.002047,0,0,1310768082.79208,1047196.66666667,0,399062.5,0,102265.299479167
NRSKAI20200527,Kangaroo Island,-35.83217,136.44733,2020-05-28T08:30:00Z,2020,5,28,08:30:00,2020-05-27T23:00:00Z,78539.75,6806778.33333333,0,11386169.3566667,12271508.6885417,0,348750,0,0
NRSMAI20200526,Maria Island,-42.59667,148.23333,2020-05-26T10:10:00Z,2020,5,26,10:10:00,2020-05-26T00:10:00Z,185772394.142604,523598.333333333,0,5132215.66363636,24557237.8318182,0,16077155,0,0
NRSPHB20200520,Port Hacking,-34.11923,151.22667,2020-05-20T10:01:00Z,2020,5,20,10:01:00,2020-05-20T00:01:00Z,222125803.051012,5037487.20516667,98616006.0952381,15266062.9265714,23889173.9583333,0,18488177.1428571,0,0
NRSROT20200520,Rottnest Island,-32,115.41667,2020-05-20T09:22:00Z,2020,5,20,09:22:00,2020-05-20T01:22:00Z,275482547.690113,6160377.29810997,0,3681657.65024509,51505162.5143184,0,31797790.9095074,0,562283.433562429
NRSDAR20200511,Darwin,-12.4,130.76805,2020-05-12T08:20:00Z,2020,5,12,08:20:00,2020-05-11T22:50:00Z,632824520.4075,5871893.50916667,0,23088487.387,0,0,163986433.9,0,0
NRSYON20200422,Yongala,-19.30847,147.61842,2020-04-22T11:24:00Z,2020,4,22,11:24:00,2020-04-22T01:24:00Z,11282607.1178947,20750918.4529825,32545218.931579,9974603.36561403,13223062.5412281,0,34722688.2947368,22046.2456140351,0
NRSYON20200306,Yongala,-19.30847,147.61842,2020-03-06T10:25:00Z,2020,3,6,10:25:00,2020-03-06T00:25:00Z,28115742.213514,278509.75177305,8679686.78656915,1803629.15248227,1218480.16400709,0,4797045.5575133,0,0
NRSROT20200304,Rottnest Island,-32,115.41667,2020-03-04T09:25:00Z,2020,3,4,09:25:00,2020-03-04T01:25:00Z,532285150.253742,1068568.02721088,0,6362610.22335601,19935472.2576531,0,3619004.28316327,0,0
NRSNSI20200228,North Stradbroke,-27.345,153.562,2020-02-28T10:30:00Z,2020,2,28,10:30:00,2020-02-28T00:30:00Z,370516997.481771,0,2147080.415625,856345.074166667,2225292.91666667,0,1125125,0,0
NRSPHB20200224,Port Hacking,-34.11923,151.22667,2020-02-25T08:52:00Z,2020,2,25,08:52:00,2020-02-24T21:52:00Z,60918468.0071617,1016091.81518152,0,1128069.28052805,388810.643564357,0,118811.881188119,0,0
NRSMAI20200223,Maria Island,-42.59667,148.23333,2020-02-24T10:30:00Z,2020,2,24,10:30:00,2020-02-23T23:30:00Z,262192330.110188,6283180,0,2013046572.66833,7984874.58333333,0,20069540,0,0
NRSYON20200212,Yongala,-19.30847,147.61842,2020-02-13T09:47:00Z,2020,2,13,09:47:00,2020-02-12T23:47:00Z,815573744.213807,521761.732036565,116847.91377551,6398318.20493197,17849943.1818182,0,5622448.97959184,0,0
NRSDAR20200204_0630,Darwin,-12.4,130.76805,2020-02-04T16:01:00Z,2020,2,4,16:01:00,2020-02-04T06:31:00Z,939405824.4325,17540544.1666667,0,17797630.9483333,0,0,37398370.5522813,0,0
NRSKAI20200204,Kangaroo Island,-35.83217,136.44733,2020-02-04T14:25:00Z,2020,2,4,14:25:00,2020-02-04T03:55:00Z,286920075.52101,1489300.47785194,0,47726877.6921521,11098929.0722762,0,82645.6310679612,0,0
NRSDAR20200204_0330,Darwin,-12.4,130.76805,2020-02-04T13:00:00Z,2020,2,4,13:00:00,2020-02-04T03:30:00Z,0,0,0,0,0,0,0,0,0
NRSDAR20200204_0030,Darwin,-12.4,130.76805,2020-02-04T10:00:00Z,2020,2,4,10:00:00,2020-02-04T00:30:00Z,0,0,0,0,0,0,0,0,0
NRSDAR20200203_2130,Darwin,-12.4,130.76805,2020-02-04T07:00:00Z,2020,2,4,07:00:00,2020-02-03T21:30:00Z,0,0,0,0,0,0,0,0,0
NRSROT20200128,Rottnest Island,-32,115.41667,2020-01-28T09:39:00Z,2020,1,28,09:39:00,2020-01-28T01:39:00Z,32126559.6128983,9702039.70075572,0,10303799.2019608,23420758.7826797,0,1707549.12103758,12833.2924836601,2005201.9505719
NRSNSI20200122,North Stradbroke,-27.345,153.562,2020-01-22T10:35:00Z,2020,1,22,10:35:00,2020-01-22T00:35:00Z,834769943.0425,0,0,12847846.464,2683441.45833333,0,440000,0,0
NRSYON20200116,Yongala,-19.30847,147.61842,2020-01-16T10:05:00Z,2020,1,16,10:05:00,2020-01-16T00:05:00Z,76318646.8616635,17736120.0441288,260252171.590909,17492759.2076599,3834432.23905724,0,2429277.88383838,0,0
NRSMAI20200106,Maria Island,-42.59667,148.23333,2020-01-07T09:45:00Z,2020,1,7,09:45:00,2020-01-06T22:45:00Z,66556285.8445833,7139080.01558333,0,7891335128.61892,29206969.53125,0,3023333.33333333,0,0
NRSNSI20191220,North Stradbroke,-27.345,153.562,2019-12-20T10:20:00Z,2019,12,20,10:20:00,2019-12-20T00:20:00Z,1478874996.46745,0,2276559.75149105,1848728.90656064,9466147.80069583,0,38127427.9324056,0,0
NRSROT20191218,Rottnest Island,-32,115.41667,2019-12-18T09:15:00Z,2019,12,18,09:15:00,2019-12-18T01:15:00Z,43911025.5045244,8621606.29729237,0,10528857.3003928,9061082.26876609,0,5172852.77441077,0,0
NRSPHB20191216,Port Hacking,-34.11923,151.22667,2019-12-17T09:02:00Z,2019,12,17,09:02:00,2019-12-16T22:02:00Z,120172100.68,31261109.3727143,0,22169916.3909048,16040393.3862434,159572.825396825,889523.80952381,0,0
NRSMAI20191210,Maria Island,-42.59667,148.23333,2019-12-11T09:30:00Z,2019,12,11,09:30:00,2019-12-10T22:30:00Z,666009226.025,88629926.2152778,0,128121239.677083,44244059.1666667,0,35366666.6666667,0,0
NRSYON20191202,Yongala,-19.30847,147.61842,2019-12-03T09:45:00Z,2019,12,3,09:45:00,2019-12-02T23:45:00Z,3930042696.275,12713622.03125,2290219.11,26550425.3193,29961460.1851852,0,4980000,0,0
NRSKAI20191127,Kangaroo Island,-35.83217,136.44733,2019-11-27T14:25:00Z,2019,11,27,14:25:00,2019-11-27T03:55:00Z,305317865.427229,5735037.99479167,0,17320135.44825,7853975,0,2076008.805625,0,204530.598958333
NRSROT20191126,Rottnest Island,-32,115.41667,2019-11-26T09:30:00Z,2019,11,26,09:30:00,2019-11-26T01:30:00Z,151060646.43585,10532690.2489549,3023391.56435644,6104586.31105611,7776212.87128713,0,15566618.640264,0,1350036.95682068
NRSMAI20191121,Maria Island,-42.59667,148.23333,2019-11-22T09:23:00Z,2019,11,22,09:23:00,2019-11-21T22:23:00Z,100094610388.69,13782385.3745508,0,120472814.069969,58163871.4622642,0,8872416.89128482,0,0
NRSPHB20191118,Port Hacking,-34.11923,151.22667,2019-11-19T09:15:00Z,2019,11,19,09:15:00,2019-11-18T22:15:00Z,1039517387.55919,7008836.72442887,0,632775012.554309,25282785.5659398,0,760124.6105919,0,0
NRSYON20191107,Yongala,-19.30847,147.61842,2019-11-07T10:10:00Z,2019,11,7,10:10:00,2019-11-07T00:10:00Z,56744748.4819531,511326.497395833,1758635.90208333,7451524.23104167,3272489.58333333,0,12051863.7559896,0,0
NRSDAR20191105,Darwin,-12.4,130.76805,2019-11-06T07:38:00Z,2019,11,6,07:38:00,2019-11-05T22:08:00Z,550377752.584722,8087724.25595238,1090580.52857143,13560515.3243915,0,0,14430397.8835979,0,0
NRSROT20191104,Rottnest Island,-32,115.41667,2019-11-04T09:25:00Z,2019,11,4,09:25:00,2019-11-04T01:25:00Z,738463519.845625,6148143.98983333,13168759.8825,7912879.8125,10602866.25,0,10241141.185625,0,0
NRSPHB20191028,Port Hacking,-34.11923,151.22667,2019-10-29T09:30:00Z,2019,10,29,09:30:00,2019-10-28T22:30:00Z,61760026156.3055,8195976.71642289,0,54137402.9907166,15080597.1582181,0,9897816.06892406,0,1639195.34328458
NRSNSI20191024,North Stradbroke,-27.345,153.562,2019-10-24T10:20:00Z,2019,10,24,10:20:00,2019-10-24T00:20:00Z,2143386697.8953,0,0,2078802.31596361,9239970.58823529,0,19395397.2063689,0,0
NRSMAI20191015,Maria Island,-42.59667,148.23333,2019-10-16T09:40:00Z,2019,10,16,09:40:00,2019-10-15T22:40:00Z,660075458.662784,26588977.8645833,0,3286794289.8,32070397.9166667,0,2536517.61125,0,818122.395833333
NRSROT20191011,Rottnest Island,-32,115.41667,2019-10-11T10:07:00Z,2019,10,11,10:07:00,2019-10-11T02:07:00Z,289900860.941368,2787477.46628507,0,4874648.64191419,3823304.66171617,0,1951704.20792079,12960.3547854786,0
NRSYON20191009,Yongala,-19.30847,147.61842,2019-10-09T10:00:00Z,2019,10,9,10:00:00,2019-10-09T00:00:00Z,303750698.130682,12395793.8762626,0,17522297.5580808,15811523.7443883,0,5841972.55934343,0,413193.129208754
NRSMAI20190925,Maria Island,-42.59667,148.23333,2019-09-25T10:03:00Z,2019,9,25,10:03:00,2019-09-25T00:03:00Z,1925024741.74178,23838065.1466589,0,37344347.7958153,45238744.8893699,0,218357506.065462,0,0
NRSPHB20190923,Port Hacking,-34.11923,151.22667,2019-09-24T09:36:00Z,2019,9,24,09:36:00,2019-09-23T23:36:00Z,23538237.4851744,17129059.8043702,0,24120714.0120155,72451397.2868217,0,1394391.25116279,0,475652.555717054
NRSYON20190917,Yongala,-19.30847,147.61842,2019-09-17T10:10:00Z,2019,9,17,10:10:00,2019-09-17T00:10:00Z,183878546.522837,22190280.769929,629181.074175824,20806071.618315,29056830.5860806,0,1562055.5989011,0,0
NRSNSI20190916,North Stradbroke,-27.345,153.562,2019-09-16T10:20:00Z,2019,9,16,10:20:00,2019-09-16T00:20:00Z,767932517.617813,15261922.75975,0,20451750.9,50287256.5972222,0,10543625.625,0,0
NRSKAI20190909,Kangaroo Island,-35.83217,136.44733,2019-09-10T07:50:00Z,2019,9,10,07:50:00,2019-09-09T22:20:00Z,7603629.546875,11346415.1532083,0,32395499.7478345,20242685.5654762,0,4854407.43458333,0,818122.395833333
NRSMAI20190828,Maria Island,-42.59667,148.23333,2019-08-29T09:20:00Z,2019,8,29,09:20:00,2019-08-28T23:20:00Z,2508442017.19612,12608050.6207192,0,21607355.9887149,13417207.2916667,0,11852739.7260274,0,3362146.83219178
NRSPHB20190827,Port Hacking,-34.11923,151.22667,2019-08-28T09:59:00Z,2019,8,28,09:59:00,2019-08-27T23:59:00Z,6243367.2235023,14813824.4106087,0,18686066.3268049,59132026.8305172,0,466301.843317972,0,0
NRSYON20190826,Yongala,-19.30847,147.61842,2019-08-26T10:40:00Z,2019,8,26,10:40:00,2019-08-26T00:40:00Z,64254130.3288281,2200880.144375,0,2462849.4805,1439895.41666667,0,77729.8945234375,65449.7916666667,0
NRSNSI20190821,North Stradbroke,-27.345,153.562,2019-08-21T10:40:00Z,2019,8,21,10:40:00,2019-08-21T00:40:00Z,377415547.511622,0,0,7607321.23966942,4631519.34831267,0,8109504.1322314,0,0
NRSROT20190819,Rottnest Island,-32,115.41667,2019-08-19T08:31:00Z,2019,8,19,08:31:00,2019-08-19T00:31:00Z,26344431.263,4787174.4769375,0,11715407.9886667,20878483.5416667,0,8685441.19,0,204530.598958333
NRSYON20190808,Yongala,-19.30847,147.61842,2019-08-08T10:04:00Z,2019,8,8,10:04:00,2019-08-08T00:04:00Z,670555108.517957,0,5783381.59090909,6054912.28215488,6941644.57070707,282073.17620651,4527822.23068182,0,0
NRSMAI20190731,Maria Island,-42.59667,148.23333,2019-07-31T10:20:00Z,2019,7,31,10:20:00,2019-07-31T00:20:00Z,341600421.961834,17900240.1541474,0,16742089.8573415,32210647.4702381,0,6690854.45078579,0,609356.767341973
NRSPHB20190729,Port Hacking,-34.11923,151.22667,2019-07-29T10:03:00Z,2019,7,29,10:03:00,2019-07-29T00:03:00Z,945697982.044584,2512660.92086405,0,7558060.65937011,23367198.3471074,0,20761670.7616708,0,0
NRSDAR20190723_0630,Darwin,-12.4,130.76805,2019-07-23T16:00:00Z,2019,7,23,16:00:00,2019-07-23T06:30:00Z,336351947.008333,17385100.9114583,0,4555305.5,0,418878.666666667,174037430.505,0,4090611.97916667
NRSDAR20190723_0330,Darwin,-12.4,130.76805,2019-07-23T13:00:00Z,2019,7,23,13:00:00,2019-07-23T03:30:00Z,0,0,0,0,0,0,0,0,0
NRSNSI20190723,North Stradbroke,-27.345,153.562,2019-07-23T10:20:00Z,2019,7,23,10:20:00,2019-07-23T00:20:00Z,246045762.869525,0,0,6470141.8923437,23386648.2259278,0,6711015.42627884,0,0
NRSDAR20190723_0030,Darwin,-12.4,130.76805,2019-07-23T10:00:00Z,2019,7,23,10:00:00,2019-07-23T00:30:00Z,0,0,0,0,0,0,0,0,0
NRSDAR20190722_2130,Darwin,-12.4,130.76805,2019-07-23T07:00:00Z,2019,7,23,07:00:00,2019-07-22T21:30:00Z,0,0,0,0,0,0,0,0,0
NRSROT20190711,Rottnest Island,-32,115.41667,2019-07-11T09:26:00Z,2019,7,11,09:26:00,2019-07-11T01:26:00Z,529782524.718937,7480995.09748932,0,7460846.6308547,28400304.0762656,0,18723809.146218,0,1153762.35309829
NRSYON20190703,Yongala,-19.30847,147.61842,2019-07-03T10:50:00Z,2019,7,3,10:50:00,2019-07-03T00:50:00Z,1226496575.4681,11934360.4492187,31013383.78125,1650152.87239583,4431496.31076389,436331.944444444,146942708.333333,0,0
NRSPHB20190626,Port Hacking,-34.11923,151.22667,2019-06-27T09:38:00Z,2019,6,27,09:38:00,2019-06-26T23:38:00Z,15053055.4179293,5971635.68612163,722922.698863636,5774832.50701058,20211046.7772968,0,263888.888888889,13222.1801346801,219494.801325758
NRSMAI20190624,Maria Island,-42.59667,148.23333,2019-06-24T10:10:00Z,2019,6,24,10:10:00,2019-06-24T00:10:00Z,12641331.1149994,13176085.3620134,0,17513358.3482474,59427616.7003707,0,413296.258847321,0,546092.149498652
NRSROT20190621,Rottnest Island,-32,115.41667,2019-06-21T09:15:00Z,2019,6,21,09:15:00,2019-06-21T01:15:00Z,409124476.848907,8143168.03656491,0,6079270.4180418,9007446.57590759,0,6076069.72326733,0,1350036.95682068
NRSNSI20190618,North Stradbroke,-27.345,153.562,2019-06-18T10:00:00Z,2019,6,18,10:00:00,2019-06-18T00:00:00Z,268672731.866062,2089178.74319033,0,0,4780040.96441948,0,11910112.3595506,0,0
NRSDAR20190529,Darwin,-12.4,130.76805,2019-05-30T08:39:00Z,2019,5,30,08:39:00,2019-05-29T23:09:00Z,805660215.9732,11292411.0500838,0,7277964.21038526,0,0,95800999.3337451,0,1918544.98185371
NRSYON20190528,Yongala,-19.30847,147.61842,2019-05-28T10:25:00Z,2019,5,28,10:25:00,2019-05-28T00:25:00Z,2080111957.40351,74547026.2277638,15383795.0318182,4561652.14646465,6247480.11363636,0,207217333.754209,0,688655.215347924
NRSNSI20190527,North Stradbroke,-27.345,153.562,2019-05-27T10:15:00Z,2019,5,27,10:15:00,2019-05-27T00:15:00Z,2232991135.08799,0,0,4762516.75531915,1810313.38652482,0,5050531.91489362,0,0
NRSROT20190527,Rottnest Island,-32,115.41667,2019-05-27T09:28:00Z,2019,5,27,09:28:00,2019-05-27T01:28:00Z,130933133.773652,11101282.6139851,2267543.67326733,5204532.87238724,7549406.66254125,0,6129604.93745875,17280.4730473047,1485040.65250275
NRSPHB20190522,Port Hacking,-34.11923,151.22667,2019-05-23T08:50:00Z,2019,5,23,08:50:00,2019-05-22T22:50:00Z,292884741.568125,6918042.97916667,17176643.325,15628939.0115,15217076.5625,0,6784048.125,0,0
NRSKAI20190514,Kangaroo Island,-35.83217,136.44733,2019-05-14T15:35:00Z,2019,5,14,15:35:00,2019-05-14T06:05:00Z,172335540.943423,13398148.164215,0,9582160.54851485,20347757.0132013,0,17970150.1310702,0,3041195.38887317
NRSYON20190507,Yongala,-19.30847,147.61842,2019-05-07T11:30:00Z,2019,5,7,11:30:00,2019-05-07T01:30:00Z,2547670839.44886,52062334.280303,2602521.71590909,25075980.9806061,7395826.45833333,0,321494088.969697,0,2479158.77525253
NRSROT20190507,Rottnest Island,-32,115.41667,2019-05-07T09:40:00Z,2019,5,7,09:40:00,2019-05-07T01:40:00Z,359232729.238614,4437301.46967822,0,3784423.59735974,14904408.0033003,0,58170222.7722772,0,607516.630569307
NRSMAI20190430,Maria Island,-42.59667,148.23333,2019-05-01T09:47:00Z,2019,5,1,09:47:00,2019-04-30T23:47:00Z,746985523.325924,11713984.4219609,0,1369745371.82736,34524202.8207331,0,6767556.05670103,0,316284.431378866
NRSNSI20190416,North Stradbroke,-27.345,153.562,2019-04-16T10:10:00Z,2019,4,16,10:10:00,2019-04-16T00:10:00Z,354699483.858749,0,0,1465870.60280222,1215587.52851092,0,1889051.80840665,0,0
NRSPHB20190408,Port Hacking,-34.11923,151.22667,2019-04-09T08:50:00Z,2019,4,9,08:50:00,2019-04-08T22:50:00Z,89972605.6456181,2162992.70417645,1881635.41901408,7197019.99256295,26969224.9523403,0,193661.971830986,0,96023.7553794992
NRSNSI20190322,North Stradbroke,-27.345,153.562,2019-03-22T10:50:00Z,2019,3,22,10:50:00,2019-03-22T00:50:00Z,321490365.430576,0,742200.6375,58196883.0575049,9710441.25875388,0,6596208.91201673,0,1993475.62337557
NRSMAI20190320,Maria Island,-42.59667,148.23333,2019-03-21T09:35:00Z,2019,3,21,09:35:00,2019-03-20T22:35:00Z,11026304.1618629,19697286.3694984,0,33128676.5674757,9282591.4477144,0,827959.344660194,0,0
NRSKAI20190320,Kangaroo Island,-35.83217,136.44733,2019-03-20T13:40:00Z,2019,3,20,13:40:00,2019-03-20T03:10:00Z,18433992.8626772,8071625.92059708,0,51116962.0317869,42058800.8304696,0,2430222.87628866,0,105428.143792955
NRSYON20190313,Yongala,-19.30847,147.61842,2019-03-13T10:10:00Z,2019,3,13,10:10:00,2019-03-13T00:10:00Z,191147196.261444,0,8975784.42916667,3309763.65842369,13290314.8384354,0,94571428.5714286,0,0
