TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Large copepodite CV,,,1080,2.6,,Herbivore
Euphausia frigida,Euphausia,frigida,236218,,,
Eucalanidae CII,,,104085,2,,Herbivore
Dimophyes arctica,Dimophyes,arctica,135418,,,
Chelophyes appendiculata,Chelophyes,appendiculata,135417,,,
Acartia (Acartiura) spp.,Acartia (Acartiura),spp.,149737,1.18,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Dolioletta spp.,Dolioletta,spp.,137219,,,
Heterorhabdus papilliger,Heterorhabdus,papilliger,104580,1.985,Based on female size Boltovskoy 1999,Carnivore
Metridia spp.,Metridia,spp.,104190,1.62,Boltovskoy 1999,Omnivore
Protomyctophum spp.,Protomyctophum,spp.,125832,,,
Candacia maxima,Candacia,maxima,342438,3.72,Razouls 2012,Carnivore
Onchocalanus spp.,Onchocalanus,spp.,104201,6.83,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Herbivore
Heterorhabdus spinifrons,Heterorhabdus,spinifrons,104583,3.1,Boltovskoy 1999,Carnivore
Centropages elongatus,Centropages,elongatus,220902,1.705,Razouls 2012,Omnivore
Oithona fallax,Oithona,fallax,106645,0.67,Boltovskoy 1999,Herbivore
Salpidae sol,,,137217,,,
Euchirella spp.,Euchirella,spp.,104120,2.5,Boltovskoy 1999,Herbivore
Calanopia australica,Calanopia,australica,346201,1.845,Razouls 2013,Carnivore
Stephos longipes,Stephos,longipes,345365,0.905,Razouls 2012,Omnivore
Stephos longipes,Stephos,longipes,345365,0.825,Razouls 2012,Omnivore
Paraeuchaeta biloba,Paraeuchaeta,biloba,344996,5.85,"Based on female size Bradford Haakonssen & Jillett 1983",Carnivore
Labidocera kroyeri stylifera,Labidocera,kroyeri stylifera,363402,2.61,Razouls 2013,Carnivore
Clausocalanus furcatus,Clausocalanus,furcatus,104503,1.005,Boltovskoy 1999,Herbivore
Sapphirina opalina,Sapphirina,opalina,129054,3.245,Boltovskoy 1999,Omnivore
Acartia (Odontacartia) amboinensis,Acartia (Odontacartia),amboinensis,346049,1.36,Razouls 2013,Omnivore
Corycaeus sewelli (invalid),Corycaeus,sewelli (invalid),,,,Carnivore
Pontellopsis scotti,Pontellopsis,scotti,220929,1.66,Razouls 2013,Carnivore
Anawekia bilobata,Anawekia,bilobata,346088,0.85,Razouls 2013,
Branchiostoma spp.,Branchiostoma,spp.,104902,,,
Paracalanidae j,,,104093,0.8,,Herbivore
Farranula gibbula,Farranula,gibbula,346477,0.83,Razouls 2013,Carnivore
Kelleria spp.,Kelleria,spp.,205653,0.94,Swe Thwin,Carnivore
Pontellopsis herdmani,Pontellopsis,herdmani,220930,1.925,Razouls 2013,Carnivore
Haloptilus longicornis,Haloptilus,longicornis,104431,1.84,Boltovskoy 1999,Carnivore
Haloptilus spp.,Haloptilus,spp.,104140,4.99,Boltovskoy 1999,Carnivore
Rhincalanus rostrifrons,Rhincalanus,rostrifrons,356829,3.105,Bradford-Grieve 1994,Herbivore
Scaphocalanus spp.,Scaphocalanus,spp.,104228,4.851,Razouls 2013,Herbivore
Scolecithrix bradyi,Scolecithrix,bradyi,360288,1.355,Boltovskoy 1999,Herbivore
Pseudocyclops spp.,Pseudocyclops,spp.,104212,0.667,Razouls 2013,Omnivore
Acartia (Acartia) negligens,Acartia (Acartia),negligens,346030,0.8,Boltovskoy 1999,Omnivore
Parvocalanus dubia,Parvocalanus,dubia,360052,0.74,Razouls 2013,Herbivore
Subeucalanus pileatus,Subeucalanus,pileatus,104547,1.8,Boltovskoy 1999,Herbivore
Pseudosagitta lyra,Pseudosagitta,lyra,105444,,,
Calanidae j,,,104079,2.6,,Herbivore
Parastenheliidae,,,115169,0.83,Walker-Smith Genefor K,
Oithona australis,Oithona,australis,353988,0.575,Razouls 2013,Herbivore
Paramacrochiron spp.,Paramacrochiron,spp.,347694,1.55,not on worms,
Euphausid larvae,,,110671,,,
Chiridius spp.,Chiridius,spp.,104117,2.875,Boltovskoy 1999,Omnivore
Heterorhabdus spp.,Heterorhabdus,spp.,104178,1.985,,Carnivore
Lucicutia gemina,Lucicutia,gemina,104600,1.5,Boltovskoy 1999,Omnivore
Oncaea oceanica,Oncaea,oceanica,354031,0.72,Razouls 2013,Omnivore
Oncaea zernovi complex,Oncaea,zernovi complex,128955,0.345,Razouls 2013,Omnivore
Paracalanidae m,,,104093,0.935,,Herbivore
Scottocalanus spp.,Scottocalanus,spp.,104232,4.487,Razouls 2013,Herbivore
Spinoncaea ivlevi,Spinoncaea,ivlevi,362083,0.32,Razouls 2013,Omnivore
Poecilostomatoida / Cyclopoid m,,,1103,0.5,,
Labidocera minuta,Labidocera,minuta,220921,1.85,Boltovskoy 1999,Carnivore
Undeuchaeta plumosa,Undeuchaeta,plumosa,104343,3.6,Boltovskoy 1999,Carnivore
Labidocera farrani,Labidocera,farrani,346593,3.16,Razouls 2013,Carnivore
Paracalanus aculeatus minor,Paracalanus,aculeatus minor,362834,0.775,unknown,Herbivore
Corycaeidae f,,,128569,1.84,,Carnivore
Candacia armata,Candacia,armata,104474,2.6,Boltovskoy 1999,Carnivore
Sulcanus conflictus,Sulcanus,conflictus,355934,1.5,Razouls 2013,Carnivore
Calocalanus contractus,Calocalanus,contractus,104651,0.625,Boltovskoy 1999,Herbivore
Euchirella rostrata,Euchirella,rostrata,104303,3.225,Boltovskoy 1999,Herbivore
Acrocalanus monachus,Acrocalanus,monachus,220839,0.92,Boltovskoy 1999,Herbivore
Centropages calaninus,Centropages,calaninus,104492,1.9,Boltovskoy 1999,Omnivore
Globorotalia spp.,Globorotalia,spp.,112200,,,
Paraeuchaeta spp.,Paraeuchaeta,spp.,196874,3,,Carnivore
Parasitic cestode,,,,,,
Euconchoecia spp.,Euconchoecia,spp.,127538,,,
Labidocera farrani,Labidocera,farrani,346593,2.775,Razouls 2013,Carnivore
Pycnogonidae,,,1567,,,
Megamphopus spp.,Megamphopus,spp.,101560,,,
Limnocythere ,Limnocythere,,127638,,,
Oikopleura spp.,Oikopleura,spp.,103367,,,
Candacia bipinnata,Candacia,bipinnata,104475,2.325,,Carnivore
Scolecithricella dentata,Scolecithricella,dentata,104807,1.64,,Herbivore
Erythrops nana,Erythrops,nana,226741,,,
Oikopleura intermedia,Oikopleura,intermedia,103412,,,
Caprella spp.,Caprella,spp.,101430,,,
Rhopalophthalmus egregius,Rhopalophthalmus,egregius,161453,,,
Scolecithricella tenuiserrata,Scolecithricella,tenuiserrata,356949,1.075,,Herbivore
Syllidae,,,948,,,
Chiridius spp.,Chiridius,spp.,104117,2.875,,Omnivore
Eusarsiella springthorpei,Eusarsiella,springthorpei,451400,,,
Dexaminidae,,,101378,,,
Oithona robertsoni,Oithona,robertsoni,361663,0.57,,Herbivore
Mnemiopsis spp.,Mnemiopsis,spp.,106355,,,
Tectillaria fertilis,Tectillaria,fertilis,103390,,,
Euphausia tenera,Euphausia,tenera,221052,,,
Krohnitta subtilis,Krohnitta,subtilis,105429,,,
Siriella gracilis,Siriella,gracilis,161473,,,
Anisomysis bifurcata,Anisomysis,bifurcata,161397,,,
Cyclosalpa virgula,Cyclosalpa,virgula,137262,,,
Anisomysis lamellicauda,Anisomysis,lamellicauda,226603,,,
Octophialucium spp.,Octophialucium,spp.,117150,,,
Munna spp.,Munna,spp.,118374,,,
Siriella aequiremis,Siriella,aequiremis,161474,,,
Paracypria tenuis,Paracypria,tenuis,460237,,,
Stylocheiron carinatum,Stylocheiron,carinatum,110701,,,
Pareucalanus attenuatus,Pareucalanus,attenuatus,237968,5.15,Razouls 2013,Herbivore
Sapphirina vorax,Sapphirina,vorax,129061,1.725,Razouls 2013,Omnivore
Calamoecia trifida,Calamoecia,trifida,349519,1,Bayly I.A.E. (1961),Omnivore
Diaphanosoma spp.,Diaphanosoma,spp.,234062,,,
Centropages orsinii,Centropages,orsinii,220901,1.25,Boltovskoy 1999,Omnivore
Rhabdosoma whitei,Rhabdosoma,whitei,220733,,,
Phronima solitaria,Phronima,solitaria,325385,,,
Cranocephalus scleroticus,Cranocephalus,scleroticus,236585,,,
Oncaea spp.,Oncaea,spp.,128690,0.8,,Omnivore
Euphausiid furcilia FI,,,110671,,,
Calanoides spp.,Calanoides,spp.,104151,2,,Herbivore
Stylocheiron longicorne,Stylocheiron,longicorne,110703,,,
Clupeidae,,,125464,,,
Rhabdonella amor,Rhabdonella,amor,341673,,,
Pyrosoma spp.,Pyrosoma,spp.,137224,,,
Podocoryna,,,117119,,,
Pseudoamallothrix ovata,Pseudoamallothrix,ovata,345251,1.075,,Herbivore
Spadella cephaloptera,Spadella,cephaloptera,105468,,,
Pseudodiaptomus australiensis,Pseudodiaptomus,australiensis,355133,1.25,,Omnivore
Dromiidae larvae,,,106742,,,
Aetideidae,,,104075,1.51,,Omnivore
Hydromyles globulosus,Hydromyles,globulosus,719622,,,
Codonella galea,Codonella,galea,417136,,,
Callianassidae zoea,,,477324,,,
Globorotaliidae,,,111930,,,
Eucheilota spp.,Eucheilota,spp.,117092,,,
Eutima spp.,Eutima,spp.,117082,,,
Scorpaenidae fish Larvae  ,,,125595,,,
Calanoides brevicornis,Calanoides,brevicornis,357533,,,
Orchistoma spp.,Orchistoma,spp.,117176,,,
Oxycephalus spp.,Oxycephalus,spp.,206128,,,
Parvocalanus cf. serratipes,Parvocalanus,cf. serratipes,360054,,,
Diacavolinia angulata,Diacavolinia,angulata,139038,,,
Copepod eggs,,,1080,,,
Parasite,,,,,,
Thecosomata,,,13703,,,
Harcledo  spp.,Harcledo ,spp.,237653,,,
Pandaridae,,,1104,,,
Pontella aculeata,Pontella,aculeata,1262429,4.52,,
Paraeuchaeta barbata,Paraeuchaeta,barbata,104557,,,
Pisces ,Pisces,,11676,,,
Pleuragramma antarctica,Pleuragramma,antarctica,712788,,,
Clausocalanus pergens,Clausocalanus,pergens,104509,,,
Clausocalanus farrani,Clausocalanus,farrani,220843,,,
Foram B,,,,,,
Radiolarian C,,,,,,
Radiolarian H,,,,,,
Spongodiscidae (Circular),,,345858,,,
Sapphirina metallina,Sapphirina,metallina,129052,,,
Nematobrachion spp.,Nematobrachion,spp.,110675,,,
Onychocorycaeus giesbrechti,Onychocorycaeus,giesbrechti,128817,0.91,Boltovskoy 1999,Carnivore
Subeucalanus mucronatus,Subeucalanus,mucronatus,104546,3.1,Bradford-Grieve 1994,Herbivore
Physosomata,,,155686,,,
Siphonophore abylidae,,,135336,,,
Centropages australiensis,Centropages,australiensis,346252,1.4,Razouls 2012,Omnivore
Oncaea clevei complex,Oncaea,clevei complex,354022,0.585,Bottger-Schnack 2001,Omnivore
Candacia catula,Candacia,catula,220913,1.5,Boltovskoy 1999,Carnivore
Lubbockia spp.,Lubbockia,spp.,128672,1.9,,Omnivore
Clausocalanus spp.,Clausocalanus,spp.,104161,1.28,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Herbivore
Euchaeta spp.,Euchaeta,spp.,104174,2.21,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Euterpina acutifrons,Euterpina,acutifrons,116162,0.625,Boltovskoy 1999,Omnivore
Rhincalanus spp.,Rhincalanus,spp.,104172,3.85,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Copilia spp.,Copilia,spp.,128721,5.75,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Calanid CI,,,104079,2,,Herbivore
Macrosetella gracilis,Macrosetella,gracilis,116382,1.45,Boltovskoy 1999,Herbivore
Mecynocera clausi,Mecynocera,clausi,104616,1.065,Boltovskoy 1999,Herbivore
Oithona grp 2,Oithona,grp 2,106485,1.2,Size compiled from species in group from Nishida 1985,Herbivore
Oncaea media complex,Oncaea,media complex,128938,0.755,Bottger-Schnack 2001,Omnivore
Parvocalanus crassirostris,Parvocalanus,crassirostris,360051,0.51,Boltovskoy 1999,Herbivore
Pleuromamma gracilis,Pleuromamma,gracilis,104639,1.75,Boltovskoy 1999,Omnivore
Sapphirina auronitens,Sapphirina,auronitens,129042,2.115,Boltovskoy 1999,Omnivore
Temora discaudata,Temora,discaudata,220898,1.735,Razouls 2012,Herbivore
Hyperiid amphipod,,,101796,,,
Bivalve,,,105,,,
Colonial ascidian larvae,,,1839,,,
Egg mass,,,,,,
Nyctiphanes australis,Nyctiphanes,australis,237863,,,
Oikopleuridae,,,103356,,,
Pentacrinoid larvae,,,1806,,,
Squid,,,11707,,,
Tomopteris spp.,Tomopteris,spp.,129715,,,
Bivalve larvae,,,105,,,
Eucalanidae j,,,104085,3,,Herbivore
Rhincalanus nasutus,Rhincalanus,nasutus,104543,3.5,Boltovskoy 1999,Herbivore
Copilia mirabilis,Copilia,mirabilis,129038,3.15,Boltovskoy 1999,Omnivore
Trachymedusae,,,16350,,,
Bestiolina spp.,Bestiolina,spp.,346148,0.8,Bradford-Grieve 1993,Herbivore
Calanopia aurivilli,Calanopia,aurivilli,346200,1.305,Razouls 2013,Carnivore
Candacia spp.,Candacia,spp.,104157,1.08,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Carnivore
Centropages australiensis,Centropages,australiensis,346252,1.45,Razouls 2012,Omnivore
Calocalanus cf. minutus,Calocalanus,cf. minutus,346221,0.535,Boltovskoy 1999,Herbivore
Clausocalanus furcatus,Clausocalanus,furcatus,104503,0.81,Frost & Fleminger 1968,Herbivore
Farranula spp.,Farranula,spp.,128636,0.855,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Labidocera minuta,Labidocera,minuta,220921,1.65,Boltovskoy 1999,Carnivore
Pseudodiaptomus cornutus,Pseudodiaptomus,cornutus,355148,1.165,Razouls 2012,Omnivore
Paracalanus parvus,Paracalanus,parvus,104685,1.07,Boltovskoy 1999,Herbivore
Aetideus spp.,Aetideus,spp.,104112,1.4,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Pleuromamma piseki,Pleuromamma,piseki,104640,1.85,Boltovskoy 1999,Omnivore
Tortanus (Tortanus) barbatus,Tortanus (Tortanus),barbatus,220937,1.625,Razouls 2012,Carnivore
Sapphirina spp.,Sapphirina,spp.,128722,3.35,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Omnivore
Candacia spp.,Candacia,spp.,104157,2.2,‘Species f’ (female) (eg. Acartia spp. f ) size range based on the min & max size range for all the female species of that genus in the database,Carnivore
Pleuromamma spp.,Pleuromamma,spp.,104191,3.29,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Omnivore
Oncaea paraclevei,Oncaea,paraclevei,361875,0.655,Bottger-Schnack 2001,Omnivore
Labidocera acuta,Labidocera,acuta,104726,3.05,Boltovskoy 1999,Carnivore
Ditrichocorycaeus aucklandicus,Ditrichocorycaeus,aucklandicus,764978,1.01,Razouls 2012,Carnivore
Subeucalanus subcrassus,Subeucalanus,subcrassus,104548,2.185,Bradford-Grieve 1994,Herbivore
Sapphirina stellata,Sapphirina,stellata,129060,2,Boltovskoy 1999,Omnivore
Bassia bassensis,Bassia,bassensis,135404,,,
Physonectae,,,135335,,,
Lensia subtiloides,Lensia,subtiloides,135440,,,
Ceratocymba spp.,Ceratocymba,spp.,135354,,,
Microsetella rosea,Microsetella,rosea,116116,0.745,Boltovskoy 1999,Omnivore
Sagitta bipunctata,Sagitta,bipunctata,105448,,,
Acartia (Acartiura) simplex,Acartia (Acartiura),simplex,346040,0.96,Bradford-Grieve 1976,Omnivore
Clausocalanus farrani,Clausocalanus,farrani,220843,1.12,Frost & Fleminger 1968,Herbivore
Triconia dentipes complex,Triconia,dentipes complex,128958,0.495,Razouls 2013,Omnivore
Pleuromamma spp.,Pleuromamma,spp.,104191,2.55,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Omnivore
Sapphirina angusta,Sapphirina,angusta,129041,5.8,Boltovskoy 1999,Omnivore
Euchirella rostrata,Euchirella,rostrata,104303,3.45,Boltovskoy 1999,Herbivore
Oithona spp.,Oithona,spp.,106485,1.13,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Herbivore
Ctenophore,,,1248,,,
Siphonophore diphyidae,,,135338,,,
Squillidae,,,136093,,,
Cladoceran,,,1076,,,
Mollusc,,,51,,,
Heterorhabdus spp.,Heterorhabdus,spp.,104178,1.985,‘Species spp.’ (eg. Acartia spp. or Oncaea venusta (no sex)) size range based on the min & max size range for all the female & male species of that species or genus present in database,Carnivore
Thysanoessa gregaria,Thysanoessa,gregaria,110707,,,
Large copepodite CIII,,,1080,2.3,,Herbivore
Euphausia spinifera,Euphausia,spinifera,221051,,,
Cyllopus lucasii,Cyllopus,lucasii,325406,,,
Chelophyes spp.,Chelophyes,spp.,135360,,,
Paraeuchaeta cf. barbata,Paraeuchaeta,cf. barbata,104557,8.495,"Bradford Haakonssen & Jillett 1983",Carnivore
Limacina retroversa,Limacina,retroversa,140227,,,
Vanadis longissima,Vanadis,longissima,129766,,,
Clio pyramidata,Clio,pyramidata,139033,,,
Nematoscelis spp.,Nematoscelis,spp.,110695,,,
Opisthobranchia,,,382226,,,
Pelagobia longicirrata,Pelagobia,longicirrata,130219,,,
Oncaea clevei complex,Oncaea,clevei complex,354022,0.65,Bottger-Schnack 2001,Omnivore
Candacia falcifera,Candacia,falcifera,342437,3.81,Razouls 2012,Carnivore
Oithona frigida,Oithona,frigida,344712,0.84,Boltovskoy 1999,Herbivore
Solmundella bitentaculata,Solmundella,bitentaculata,117267,,,
Goniopsyllus rostratus,Goniopsyllus,rostratus,346510,0.8,Boltovskoy 1999,
Goniopsyllus rostratus,Goniopsyllus,rostratus,346510,0.85,Boltovskoy 1999,
Euchirella rostrata,Euchirella,rostrata,104303,2.5,Boltovskoy 1999,Herbivore
Pontellopsis tasmanensis,Pontellopsis,tasmanensis,354898,1.485,Razouls 2013,Carnivore
Calanoides macrocarinatus,Calanoides,macrocarinatus,345758,3.55,Boltovskoy 1999,Herbivore
Calanus propinquus,Calanus,propinquus,342435,5.375,Boltovskoy 1999,Herbivore
Corycaeus speciosus,Corycaeus,speciosus,128800,1.845,Boltovskoy 1999,Carnivore
Lucicutia tranteri (invalid),Lucicutia,tranteri (invalid),,,,Omnivore
Copilia mirabilis,Copilia,mirabilis,129038,4.15,Boltovskoy 1999,Omnivore
Brachycalanus rothlisbergi,Brachycalanus,rothlisbergi,346169,1.625,Razouls 2013,Herbivore
Labidocera farrani,Labidocera,farrani,346593,3.045,Razouls 2013,Carnivore
Paracalanus denudatus,Paracalanus,denudatus,104682,0.815,Boltovskoy 1999,Herbivore
Clytemnestra scutellata,Clytemnestra,scutellata,115805,1.15,Boltovskoy 1999,Omnivore
Scolecithricella minor,Scolecithricella,minor,104811,1.27,Boltovskoy 1999,Herbivore
Sapphirina angusta,Sapphirina,angusta,129041,5.05,Boltovskoy 1999,Omnivore
Paraheterorhabdus farrani,Paraheterorhabdus,farrani,345232,3.94,Razouls 2013,Carnivore
Sapphirina scarlata,Sapphirina,scarlata,129058,4.075,Boltovskoy 1999,Omnivore
Labidocera dakini,Labidocera,dakini,346589,2.32,Razouls 2013,Carnivore
Lingula spp.,Lingula,spp.,235158,,,
Calocalanus pavo,Calocalanus,pavo,104669,0.63,Bradford-Grieve 1993,Herbivore
Labidocera dakini,Labidocera,dakini,346589,2.2,Razouls 2013,Carnivore
Caridea zoea,,,106674,,,
Dioithona rigida,Dioithona,rigida,220943,0.55,Boltovskoy 1999,Herbivore
Pinnotheres spp.,Pinnotheres,spp.,106976,,,
Pontellopsis herdmani,Pontellopsis,herdmani,220930,1.72,Razouls 2013,Carnivore
Pseudodiaptomus galleti,Pseudodiaptomus,galleti,355155,0.95,Razouls 2013,Omnivore
Acartia (Acanthacartia) fossae,Acartia (Acanthacartia),fossae,345933,1.03,Razouls 2013,Omnivore
Pseudodiaptomus galleti,Pseudodiaptomus,galleti,355155,1.025,Razouls 2013,Omnivore
Undeuchaeta spp.,Undeuchaeta,spp.,104128,4.725,Boltovskoy 1999,Carnivore
Pterosagitta spp.,Pterosagitta,spp.,105403,,,
Cyttarocylis spp.,Cyttarocylis,spp.,150205,,,
Foraminifera,,,1410,,,
Brachiopoda,,,1803,,,
Longipediidae,,,115160,0.85,Wells 1980,Omnivore
sp. A unid copepod Ramu,,,1080,,,Herbivore
Aetideus giesbrechti,Aetideus,giesbrechti,104276,2,Boltovskoy 1999,Omnivore
Conaea spp.,Conaea,spp.,128688,1.005,Boltovskoy 1999,Omnivore
Delibus spp.,Delibus,spp.,363904,0.47,Boltovskoy 1999,Herbivore
Euchaeta media,Euchaeta,media,104553,4.11,Boltovskoy 1999,Carnivore
Haloptilus spp.,Haloptilus,spp.,104140,5.37,Boltovskoy 1999,Carnivore
Lucicutia gemina,Lucicutia,gemina,104600,1.65,Boltovskoy 1999,Omnivore
Oncaea brodskii,Oncaea,brodskii,128928,0.525,Razouls 2013,Omnivore
Oncaea schmelvi,Oncaea,schmelvi,128951,0.685,Razouls 2013,Omnivore
Temoropia minor,Temoropia,minor,104882,0.734,Razouls 2013,Omnivore
Temoropia minor,Temoropia,minor,104882,0.61,Razouls 2013,Omnivore
Oithona robusta,Oithona,robusta,106654,1.505,Boltovskoy 1999,Herbivore
Oithona aruensis,Oithona,aruensis,353987,0.405,Razouls 2013,Herbivore
Triconia giesbrechti,Triconia,giesbrechti,361556,0.435,Razouls 2013,Omnivore
Lucifer hanseni,Lucifer,hanseni,107121,,,
Thetys vagina,Thetys,vagina,137281,,,
Pontella novaezealandiae,Pontella,novaezealandiae,354875,5.35,Razouls 2013,Carnivore
Penaeus semisulcatus,Penaeus,semisulcatus,107112,,,
Penaeus spp.,Penaeus,spp.,106822,,,
Isopod j,,,1131,,,
Boeckella triarticulata,Boeckella,triarticulata,349268,1.39,Twombly Saran Nancy Clancy and Carolyn W. Burns 1998,Omnivore
Keratella spp.,Keratella,spp.,134941,,,
Stegosoma magnum,Stegosoma,magnum,103422,,,
Oikopleura (Coecaria) longicauda,Oikopleura (Coecaria),longicauda,103414,,,
Pontellidae m,,,104097,1.44,,Carnivore
Stephos tropicus,Stephos,tropicus,360650,0.775,,Omnivore
Catostylus mosaicus,Catostylus,mosaicus,220491,,,
Ritteriella amboinensis,Ritteriella,amboinensis,137268,,,
Acartia (Odontacartia) bispinosa,Acartia (Odontacartia),bispinosa,346051,1.4,,Omnivore
Prionomysis stenolepis,Prionomysis,stenolepis,226995,,,
Platyias spp.,Platyias,spp.,148357,,,
Euphilomedes ,Euphilomedes,,127558,,,
Anchialina grossa,Anchialina,grossa,161483,,,
Euchlanis spp.,Euchlanis,spp.,134939,,,
Calocalanus cf. longispinus,Calocalanus,cf. longispinus,104661,0.67,,Herbivore
Isias uncipes,Isias,uncipes,346573,1.55,Bayly I. A. E. 1964,Omnivore
Rhizophysa spp.,Rhizophysa,spp.,135384,,,
Labidocera moretoni,Labidocera,moretoni,220925,2.005,,Carnivore
Notholca spp.,Notholca,spp.,134944,,,
Metis spp.,Metis,spp.,115406,1,,Omnivore
Codonella spp.,Codonella,spp.,150203,,,
Sagitta bedoti,Sagitta,bedoti,266884,,,
Lucifer faxoni,Lucifer,faxoni,158346,,,
Megalocercus huxleyi,Megalocercus,huxleyi,221117,,,
Euphausia gibba,Euphausia,gibba,237855,,,
Melitidae,,,101397,,,
Rotifera,,,14260,,,
Acartia (Acartiura) ensifera,Acartia (Acartiura),ensifera,345716,1.005,Razouls 2013,Omnivore
Mesocyclops spp.,Mesocyclops,spp.,156881,1.19,Swe Thwin,Carnivore
Vibilia pyripes,Vibilia,pyripes,103292,,,
Paratyphis parvus,Paratyphis,parvus,421628,,,
Vibilia stebbingi,Vibilia,stebbingi,236633,,,
Phronima atlantica,Phronima,atlantica,103271,,,
Amphithyrus bispinosus,Amphithyrus,bispinosus,236615,,,
Anchylomera blossevillei,Anchylomera,blossevillei,236613,,,
Oncaea spp.,Oncaea,spp.,128690,0.55,,Omnivore
Rhabdonella spiralis,Rhabdonella,spiralis,235763,,,
Lipmanella dictyoceras,Lipmanella,dictyoceras,413077,,,
Bipinnaria larva,,,1806,,,
Ambunguipes spp.,Ambunguipes,spp.,115187,0.98,Huys 1990,
Hyperiella macronyx,Hyperiella,macronyx,325387,,,
Diacria spp.,Diacria,spp.,137755,,,
Bougainvillia spp.,Bougainvillia,spp.,117015,,,
Salpingella acuminata,Salpingella,acuminata,417228,,,
Protozoea decapod larvae,,,1130,,,
Gebiidea zoea,,,477323,,,
Xystonella lohmanni,Xystonella,lohmanni,427625,,,
Scolecithricella globulosa,Scolecithricella,globulosa,355505,,Razouls 2013,Herbivore
Rhincalanus rostrifrons,Rhincalanus,rostrifrons,356829,,"‘Species j’ (juvenile) (eg. Acartia spp. j or Centropages australiensis j )  the maximum size limit is based on the minimum size of either the smallest male or female of that species or genus and no minimum size limit has been entered",Herbivore
Oceania  armata,Oceania ,armata,117437,,,
Pontellopsis  macronyx,Pontellopsis ,macronyx,354893,1.675,,
Radiolarian K,,,,,,
Bracht of physonect,,,135335,,,
Mollusc egg,,,51,,,
Radiolarian N,,,,,,
Phronimidae,,,101420,,,
Tegastidae,,,115179,,,
Calanus agulhensis,Calanus,agulhensis,346211,,,
Calanus spp.,Calanus,spp.,104152,,,
Miracia  efferata,Miracia ,efferata,116383,,,
Bradyidius spp.,Bradyidius,spp.,104115,,,
Oncaea mediterranea,Oncaea,mediterranea,128939,,,
Platysceloidea,,,155698,,,
Euphausiidae metanauplii,,,110671,,,
Maupasia spp.,Maupasia,spp.,129327,,,
Munida gregaria,Munida,gregaria,392346,,,
Teuthida,,,11716,,,
Pontella securifer,Pontella,securifer,104740,3.92,,
Diacavolinia spp.,Diacavolinia,spp.,137754,,,
Mimonectes spp.,Mimonectes,spp.,101802,,,
Candacia ethiopica,Candacia,ethiopica,104478,,,
Neocalanus spp.,Neocalanus,spp.,104155,,,
Phaenna spp.,Phaenna,spp.,104202,,,
Egg ?,,,,,,
Oncaea venusta medium hump,Oncaea,venusta medium hump,128954,1.025,Bottger-Schnack & Huys 2004,Omnivore
Corycaeus spp.,Corycaeus,spp.,128634,1.555,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Pegea confoederata,Pegea,confoederata,137266,,,
Oncaea venusta complex,Oncaea,venusta complex,128954,0.975,Bottger-Schnack & Huys 2004,Omnivore
Calanoides acutus,Calanoides,acutus,342434,4.6,Boltovskoy 1999,Herbivore
Euaugaptilus spp.,Euaugaptilus,spp.,104139,6.29,Boltovskoy 1999,Carnivore
Calanus australis,Calanus,australis,345760,3.095,Boltovskoy 1999,Herbivore
Copepod damaged / unidentified,,,1080,1,,
Farranula spp.,Farranula,spp.,128636,0.785,‘Species m’ (male) (eg. Acartia spp. m ) size range based on the min & max size range for all the male species of that genus in the database,Carnivore
Cosmocalanus darwinii,Cosmocalanus,darwinii,361259,2,Boltovskoy 1999,Herbivore
Ctenocalanus vanus,Ctenocalanus,vanus,104510,1.04,Boltovskoy 1999,Herbivore
