TAXONNAME,GENUS,SPECIES,SPCODE,LENGTH_MM,SIZEREFERENCE,DIET
Macrosetella gracilis,Macrosetella,gracilis,116382,1.315,Boltovskoy 1999,Herbivore
Paroithona spp.,Paroithona,spp.,106486,0.4,Razouls 2013,Herbivore
Aetideus armatus,Aetideus,armatus,104275,1.8,Boltovskoy 1999,Omnivore
Harpacticoid,,,1102,0.625,,
Candacia ethiopica,Candacia,ethiopica,104478,2.525,Boltovskoy 1999,Carnivore
Rhincalanus gigas,Rhincalanus,gigas,220837,7.88,Boltovskoy 1999,Herbivore
Euphausia crystallorophias,Euphausia,crystallorophias,236216,,,
Hyperiella antarctica,Hyperiella,antarctica,325379,,,
Alciopidae,,,932,,,
Hyperiella dilatata,Hyperiella,dilatata,325383,,,
Large copepodite CI,,,1080,2,,Herbivore
Scina spp.,Scina,spp.,101810,,,
Iospilidae,,,155189,,,
Diphyes dispar,Diphyes,dispar,135420,,,
Zonosagitta pulchra,Zonosagitta,pulchra,266888,,,
Gladioferens pectinatus,Gladioferens,pectinatus,356667,1.42,McKinnon 1985,Omnivore
Oikopleura (Coecaria) spp.,Oikopleura (Coecaria),spp.,343703,,,
Paraeuchaeta barbata,Paraeuchaeta,barbata,104557,7.9,"Bradford Haakonssen & Jillett 1983",Carnivore
Oncaea media,Oncaea,media,128938,0.755,Bottger-Schnack 2001,Omnivore
Gladioferens inermis,Gladioferens,inermis,351944,1.1,Nyan Taw 1975,Omnivore
Pontellidae,,,104097,1.69,,Carnivore
Candacia maxima,Candacia,maxima,342438,3.785,Razouls 2012,Carnivore
Ctenocalanus citer,Ctenocalanus,citer,342449,1.22,Boltovskoy 1999,Herbivore
Triconia antarctica,Triconia,antarctica,345368,0.61,Boltovskoy 1999,Omnivore
Oncaea curvata,Oncaea,curvata,344719,0.485,Boltovskoy 1999,Omnivore
Heterorhabdus lobatus,Heterorhabdus,lobatus,346538,2.35,Boltovskoy 1999,Carnivore
Oculosetella gracilis,Oculosetella,gracilis,116384,1.08,Razouls 2012,Omnivore
Primno spp.,Primno,spp.,101806,,,
