NRS_CODE,SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE,BIOMASS_MGM3
YON20170705,783,Yongala,-19.30847,147.61842,2017-07-05 10:21:00,22.60414
KAI20170518,769,Kangaroo Island,-35.83217,136.44733,2017-05-18 11:15:00,5.59445
PHB20170517,772,Port Hacking,-34.11923,151.22667,2017-05-18 09:45:00,5.27265
DAR20170715_0330,790,Darwin,-12.4,130.76805,2017-07-15 13:00:00,242.84681
DAR20170715_0630,791,Darwin,-12.4,130.76805,2017-07-15 16:00:00,137.47436
YON20170220,746,Yongala,-19.30847,147.61842,2017-02-20 10:29:00,7.20864
DAR20170203_0630,761,Darwin,-12.4,130.76805,2017-02-03 16:00:00,47.67788
YON20170724,784,Yongala,-19.30847,147.61842,2017-07-24 10:45:00,4.99328
ROT20180125,823,Rottnest Island,-32,115.41667,2018-01-25 10:00:00,12.55392
ROT20180511,836,Rottnest Island,-32,115.41667,2018-05-11 09:21:00,7.94934
DAR20171009,808,Darwin,-12.4,130.76805,2017-10-10 07:57:00,87.81119
YON20181213,881,Yongala,-19.30847,147.61842,2018-12-13 10:30:00,12.27809
YON20190213,883,Yongala,-19.30847,147.61842,2019-02-13 10:26:00,15.33347
ROT20190306,904,Rottnest Island,-32,115.41667,2019-03-06 10:24:00,7.48913
PHB20181120,872,Port Hacking,-34.11923,151.22667,2018-11-21 09:24:00,4.81292
ROT20181211,877,Rottnest Island,-32,115.41667,2018-12-11 09:24:00,15.15115
KAI20190514,911,Kangaroo Island,-35.83217,136.44733,2019-05-14 15:35:00,6.5245
MAI20190828,916,Maria Island,-42.59667,148.23333,2019-08-29 09:20:00,4.80939
DAR20190723_0630,979,Darwin,-12.4,130.76805,2019-07-23 16:00:00,33.24138
PHB20190729,983,Port Hacking,-34.11923,151.22667,2019-07-29 10:03:00,16.90505
YON20190124,882,Yongala,-19.30847,147.61842,2019-01-24 11:12:00,8.04865
PHB20190227,886,Port Hacking,-34.11923,151.22667,2019-02-28 10:35:00,5.66579
NSI20190118,888,North Stradbroke,-27.345,153.562,2019-01-18 10:40:00,15.28396
ROT20200730,1079,Rottnest Island,-32,115.41667,2020-07-30 09:27:00,40.45547
YON20190917,991,Yongala,-19.30847,147.61842,2019-09-17 10:10:00,8.16889
KAI20191127,1010,Kangaroo Island,-35.83217,136.44733,2019-11-27 14:25:00,9.37477
PHB20200609,1066,Port Hacking,-34.11923,151.22667,2020-06-10 09:32:00,4.45222
NSI20200625,1072,North Stradbroke,-27.345,153.562,2020-06-25 10:35:00,14.17099
NSI20200720,1073,North Stradbroke,-27.345,153.562,2020-07-20 10:30:00,17.12863
YON20191107,993,Yongala,-19.30847,147.61842,2019-11-07 10:10:00,31.19032
PHB20191028,998,Port Hacking,-34.11923,151.22667,2019-10-29 09:30:00,6.02588
NSI20200917,1075,North Stradbroke,-27.345,153.562,2020-09-17 10:20:00,15.78483
ROT20200520,1076,Rottnest Island,-32,115.41667,2020-05-20 09:22:00,18.64523
PHB20090819,34,Port Hacking,-34.11923,151.22667,2009-08-20 09:19:00,9.48086
NSI20091006,36,North Stradbroke,-27.345,153.562,2009-10-07 09:07:00,38.4237
MAI20091013,49,Maria Island,-42.59667,148.23333,2009-10-13 11:00:00,10.30836
NSI20091101,122,North Stradbroke,-27.345,153.562,2009-11-02 09:02:00,15.22545
YON20090909,48,Yongala,-19.30847,147.61842,2009-09-09 10:40:00,17.25995
PHB20090924,151,Port Hacking,-34.11923,151.22667,2009-09-25 08:45:00,32.36438
NSI20100121,124,North Stradbroke,-27.345,153.562,2010-01-22 09:50:00,33.64645
PHB20100510,179,Port Hacking,-34.11923,151.22667,2010-05-11 09:13:00,17.7806
YON20100521,53,Yongala,-19.30847,147.61842,2010-05-21 12:56:00,31.58203
PHB20100817,183,Port Hacking,-34.11923,151.22667,2010-08-18 09:30:00,66.4368
NSI20101115,171,North Stradbroke,-27.345,153.562,2010-11-16 09:30:00,32.59199
KAI20101120,108,Kangaroo Island,-35.83217,136.44733,2010-11-21 05:00:00,1.13515
ESP20101013,141,Esperance,-33.93333,121.85,2010-10-13 08:15:00,4.1257
ROT20100723,54,Rottnest Island,-32,115.41667,2010-07-23 12:02:00,4.55792
ROT20101215,127,Rottnest Island,-32,115.41667,2010-12-15 10:20:00,5.6974
ROT20110224,159,Rottnest Island,-32,115.41667,2011-02-24 09:35:00,7.39483
NSI20110606,195,North Stradbroke,-27.345,153.562,2011-06-06 10:00:00,5.58095
MAI20110725,197,Maria Island,-42.59667,148.23333,2011-07-25 12:15:00,0.25638
KAI20111026,201,Kangaroo Island,-35.83217,136.44733,2011-10-26 14:40:00,0.5941
NIN20110706,25,Ningaloo,-21.99,113.779,2011-07-06 11:04:00,10.22703
ROT20110527,118,Rottnest Island,-32,115.41667,2011-05-27 09:35:00,13.94095
YON20111027,143,Yongala,-19.30847,147.61842,2011-10-27 13:44:00,12.66924
MAI20120222,96,Maria Island,-42.59667,148.23333,2012-02-22 11:00:00,2.52846
KAI20111219,172,Kangaroo Island,-35.83217,136.44733,2011-12-20 09:30:00,0.3996
PHB20120717,305,Port Hacking,-34.11923,151.22667,2012-07-17 10:00:00,4.24358
DAR20120115_03:35,93,Darwin,-12.4,130.76805,2012-01-15 13:05:00,48.41338
YON20120424,307,Yongala,-19.30847,147.61842,2012-04-24 10:50:00,24.04696
MAI20120524,75,Maria Island,-42.59667,148.23333,2012-05-24 11:30:00,31.38482
NSI20120912,301,North Stradbroke,-27.345,153.562,2012-09-12 10:20:00,19.01896
NSI20130123,377,North Stradbroke,-27.345,153.562,2013-01-23 10:15:00,11.32264
ROT20121219,438,Rottnest Island,-32,115.41667,2012-12-19 11:48:00,12.04705
DAR20121208_23:30,370,Darwin,-12.4,130.76805,2012-12-09 09:00:00,58.09384
ESP20121212,383,Esperance,-33.93333,121.85,2012-12-12 09:10:00,5.80741
PHB20121120,400,Port Hacking,-34.11923,151.22667,2012-11-21 09:30:00,31.17617
MAI20130313,397,Maria Island,-42.59667,148.23333,2013-03-14 10:00:00,4.51764
NSI20130913,417,North Stradbroke,-27.345,153.562,2013-09-13 10:25:00,10.28201
NSI20130706,413,North Stradbroke,-27.345,153.562,2013-07-07 09:40:00,5.25946
MAI20130611,445,Maria Island,-42.59667,148.23333,2013-06-11 11:55:00,2.9926
NSI20140213,456,North Stradbroke,-27.345,153.562,2014-02-13 10:20:00,13.02007
ROT20140122,482,Rottnest Island,-32,115.41667,2014-01-22 10:10:00,15.87413
ROT20140227,491,Rottnest Island,-32,115.41667,2014-02-27 12:39:00,22.25522
ROT20131122,463,Rottnest Island,-32,115.41667,2013-11-22 10:26:00,9.98813
NSI20141020,501,North Stradbroke,-27.345,153.562,2014-10-20 10:45:00,6.68685
DAR20140906_09:30,511,Darwin,-12.4,130.76805,2014-09-06 19:00:00,32.25737
PHB20140515,514,Port Hacking,-34.11923,151.22667,2014-05-16 09:35:00,4.44515
YON20140527,523,Yongala,-19.30847,147.61842,2014-05-27 12:12:00,17.02873
YON20140820,526,Yongala,-19.30847,147.61842,2014-08-20 11:15:00,7.43986
YON20140910,527,Yongala,-19.30847,147.61842,2014-09-10 10:35:00,6.51498
ROT20141216,556,Rottnest Island,-32,115.41667,2014-12-16 09:37:00,10.51465
YON20150324,628,Yongala,-19.30847,147.61842,2015-03-24 15:15:00,30.20831
MAI20150723,643,Maria Island,-42.59667,148.23333,2015-07-23 10:45:00,2.01334
MAI20150421,626,Maria Island,-42.59667,148.23333,2015-04-21 10:50:00,11.95275
NSI20150731,636,North Stradbroke,-27.345,153.562,2015-07-31 10:15:00,14.05525
YON20150923,655,Yongala,-19.30847,147.61842,2015-09-23 13:11:00,5.25007
YON20151027,656,Yongala,-19.30847,147.61842,2015-10-27 10:10:00,7.42626
