NRSCODE,SOI
"NWS_4.1",-7.8
"NWS_3.3",-7.8
"NWS_3.2",-7.8
"NWS_3.1",-7.8
"NWS_2.3",-7.8
"NWS_2.2",-7.8
"NWS_2.1",-7.8
"NWS_19.2",-7.8
"NWS_19.1",-7.8
"NWS_18.2",-7.8
"NWS_18.1",-7.8
"NWS_17.2",-7.8
"NWS_17.1",-7.8
"NWS_16.3",-7.8
"NWS_16.2",-7.8
"NWS_16.1",-7.8
"NWS_15.3",-7.8
"NWS_15.2",-7.8
"NWS_15.1",-7.8
"NWS_14.2",-7.8
"NWS_14.1",-7.8
"NWS_13.2",-7.8
"NWS_13.1",-7.8
"NWS_12.2",-7.8
"NWS_12.1",-7.8
"NWS_11.3",-7.8
"NWS_11.2",-7.8
"NWS_11.1",-7.8
"NWS_10.2",-7.8
"NWS_10.1",-7.8
"NWS_1.3",-7.8
"NWS_1.2",-7.8
"NWS_1.1",-7.8
"NSI20210226",11.61
"NSI20201221",17.52
"NSI20201116",9.14
"NSI20201022",4.18
"NSI20200917",9.96
"NSI20200817",9.39
"NSI20200720",4.02
"NSI20200625",-9.91
"NSI20200528",2.56
"NSI20200228",-1.99
"NSI20200122",1.21
"NSI20191220",-5.46
"NSI20191024",-5.51
"NSI20190916",-12.46
"NSI20190821",-3.96
"NSI20190723",-6.15
"NSI20190618",-10.33
"NSI20190527",-9
"NSI20190527",-8.76
"NSI20190416",-1.3
"NSI20190322",-6.8
"NSI20190118",-0.6
"NSI20181115",-0.1
"NSI20181023",3
"NSI20180913",-10
"NSI20180817",-6.9
"NSI20180718",1.6
"NSI20180530",2.1
"NSI20180417",4.5
"NSI20180320",10.5
"NSI20180302",10.5
"NSI20180123",8.9
"NSI20171219",-1.4
"NSI20171116",11.8
"NSI20171023",9.1
"NSI20170927",6.9
"NSI20170829",3.3
"NSI20170717",8.1
"NSI20170627",-10.4
"NSI20170516",0.5
"NSI20170424",-6.3
"NSI20170217",-2.2
"NSI20170117",1.3
"NSI20161215",2.6
"NSI20161116",-0.7
"NSI20161019",-4.3
"NSI20160920",13.5
"NSI20160822",5.3
"NSI20160720",4.2
"NSI20160623",5.8
"NSI20160517",2.8
"NSI20160412",-22
"NSI20160318",-4.7
"NSI20160120",-19.7
"NSI20151216",-9.1
"NSI20151119",-5.3
"NSI20151027",-20.2
"NSI20150907",-17.8
"NSI20150817",-19.8
"NSI20150731",-14.7
"NSI20150624",-12
"NSI20150528",-13.7
"NSI20150512",-13.7
"NSI20150323",-11.2
"NSI20150304",-11.2
"NSI20150119",-7.8
"NSI20141223",-5.5
"NSI20141107",-10
"NSI20141020",-8
"NSI20140917",-7.6
"NSI20140901",-7.6
"NSI20140725",-3
"NSI20140623",-1.5
"NSI20140507",4.4
"NSI20140404",8.6
"NSI20140306",-13.3
"NSI20140213",-1.3
"NSI20131212",0.6
"NSI20131121",9.2
"NSI20131016",-1.9
"NSI20130913",3.9
"NSI20130819",-0.5
"NSI20130806",-0.5
"NSI20130706",8.1
"NSI20130520",8.4
"NSI20130418",0.3
"NSI20130326",10.5
"NSI20130123",-1.1
"NSI20130111",-1.1
"NSI20121114",3.9
"NSI20121017",2.4
"NSI20120912",2.6
"NSI20120821",-5
"NSI20120806",-5
"NSI20120620",-10.4
"NSI20120511",-2.7
"NSI20120229",2.9
"NSI20120213",2.5
"NSI20111220",23
"NSI20111116",13.8
"NSI20111013",7.3
"NSI20110915",11.7
"NSI20110816",2.1
"NSI20110727",10.7
"NSI20110623",0.2
"NSI20110606",0.2
"NSI20110412",25.1
"NSI20110323",21.4
"NSI20110220",22.3
"NSI20110119",19.9
"NSI20101215",27.1
"NSI20101115",16.4
"NSI20101018",18.3
"NSI20100916",24.9
"NSI20100817",18.8
"NSI20100711",20.5
"NSI20100618",1.8
"NSI20100520",10
"NSI20100411",15.2
"NSI20100322",-10.6
"NSI20100214",-14.5
"NSI20100121",-10.1
"NSI20091215",-7
"NSI20091115",-6
"NSI20091101",-6
"NSI20091021",-14.7
"NSI20091015",-14.7
"NSI20091006",-14.7
"NSI20090916",3.9
"NSI20090819",-5
"NSI20090720",1.6
"NSI20090618",-2.3
"NSI20090527",-7.4
"NSI20090416",8.6
"NSI20090318",0.2
"NSI20090218",14.8
"NSI20090114",9.4
"NSI20081217",13.3
"NSI20081119",17.1
"NSI20081030",13.4
"NSI20080929",13.5
"NSF20200528",2.56
"NSF20200228",-1.99
"NSF20200122",1.21
"NSF20191220",-5.46
"NSF20191024",-5.51
"NSF20190916",-12.46
"NSF20190821",-3.96
"NSF20190723",-6.15
"NSF20190618",-10.33
"NSF20190527",-9
"NSF20190527",-8.76
"NSF20190416",-1.3
"NSF20190322",-6.8
"NSF20190118",-0.6
"NSF20181115",-0.1
"NSF20181023",3
"NSF20180913",-10
"NSF20180817",-6.9
"NSF20180718",1.6
"NSF20180530",2.1
"NSF20180417",4.5
"NSF20180320",10.5
"NSF20180302",10.5
"NSF20180123",8.9
"NSF20171219",-1.4
"NSF20171116",11.8
"NSF20171023",9.1
"NSF20170927",6.9
"NSF20170829",3.3
"NSF20170717",8.1
"NSF20170627",-10.4
"NSF20170516",0.5
"NSF20170424",-6.3
"NSF20170217",-2.2
"NSF20170117",1.3
"NSF20161215",2.6
"NSF20161116",-0.7
"NSF20161019",-4.3
"NSF20160920",13.5
"NSF20160822",5.3
"NSF20160720",4.2
"NSF20160623",5.8
"NSF20160517",2.8
"NSF20160412",-22
"NSF20160318",-4.7
"NSF20160120",-19.7
"NSF20151216",-9.1
"NIN20130806",-0.5
"NIN20130509",8.4
"NIN20130209",-3.6
"NIN20121107",3.9
"NIN20120827",-5
"NIN20120509",-2.7
"NIN20120226",2.5
"NIN20111107",13.8
"NIN20110706",10.7
"NIN20110501",2.1
"NIN20110209",22.3
"NIN20101108",16.4
"MHPM_520191211",-5.46
"MHPM_3020191211",-5.46
"MHPM_1520191211",-5.46
"MHPM_1520191210",-5.46
"MHP20191219",-5.46
"MHP20191218",-5.46
"MHP20191217",-5.46
"MHP20191216",-5.46
"MHP20191215",-5.46
"MHP20191214",-5.46
"MHP20191212",-5.46
"MHP20191211",-5.46
"MALDIVES20100809",18.8
"MALDIVES20100808",18.8
"MALDIVES20100807",18.8
"MAI20210215",11.61
"MAI20210106",16.53
"MAI20201118",9.14
"MAI20201020",4.18
"MAI20200928",9.96
"MAI20200909",9.96
"MAI20200810",9.39
"MAI20200628",-9.91
"MAI20200526",2.56
"MAI20200223",-1.99
"MAI20200106",1.21
"MAI20191210",-5.46
"MAI20191121",-9.93
"MAI20191015",-5.51
"MAI20190925",-12.46
"MAI20190828",-3.96
"MAI20190731",-6.15
"MAI20190624",-10.33
"MAI20190430",-9
"MAI20190430",-8.76
"MAI20190320",-6.8
"MAI20190106",-0.6
"MAI20181204",9.3
"MAI20181018",3
"MAI20180919",-10
"MAI20180711",1.6
"MAI20180627",-5.5
"MAI20180605",-5.5
"MAI20180418",4.5
"MAI20180315",10.5
"MAI20180301",10.5
"MAI20180116",8.9
"MAI20171217",-1.4
"MAI20171123",11.8
"MAI20171015",9.1
"MAI20170921",6.9
"MAI20170801",3.3
"MAI20170626",-10.4
"MAI20170601",-10.4
"MAI20170412",-6.3
"MAI20170323",5.1
"MAI20170223",-2.2
"MAI20170104",1.3
"MAI20161117",-0.7
"MAI20160927",13.5
"MAI20160831",5.3
"MAI20160720",4.2
"MAI20160630",4.2
"MAI20160530",2.8
"MAI20160428",-22
"MAI20160321",-4.7
"MAI20160303",-4.7
"MAI20160209",-19.7
"MAI20151216",-9.1
"MAI20151118",-5.3
"MAI20151001",-20.2
"MAI20150811",-19.8
"MAI20150723",-14.7
"MAI20150526",-13.7
"MAI20150421",-3.8
"MAI20150312",-11.2
"MAI20150224",0.6
"MAI20141208",-5.5
"MAI20141127",-10
"MAI20141029",-8
"MAI20140915",-7.6
"MAI20140821",-11.4
"MAI20140807",-11.4
"MAI20140703",-3
"MAI20140619",-1.5
"MAI20140516",4.4
"MAI20140408",8.6
"MAI20140318",-13.3
"MAI20140205",-1.3
"MAI20140122",12.2
"MAI20131217",0.6
"MAI20131117",9.2
"MAI20130924",3.9
"MAI20130821",-0.5
"MAI20130807",-0.5
"MAI20130611",13.9
"MAI20130528",8.4
"MAI20130424",0.3
"MAI20130313",10.5
"MAI20130214",-3.6
"MAI20130129",-1.1
"MAI20121112",3.9
"MAI20121017",2.4
"MAI20121002",2.4
"MAI20120820",-5
"MAI20120724",-1.7
"MAI20120621",-10.4
"MAI20120524",-2.7
"MAI20120412",-7.1
"MAI20120326",2.9
"MAI20120222",2.5
"MAI20120119",9.4
"MAI20111214",23
"MAI20111026",7.3
