PROJECTNAME,TRIP_CODE,STATION,STATIONCODE,LONGITUDE,LATITUDE,SAMPLEDATELOCAL,BIOMASS_MGM3,SECCHI_M,SAMPLETYPE
NRS,PHB20141208,Port Hacking,PHB,151.22667,-34.11923,2014-12-09 09:51:00,2.95599,16,PZ
NRS,PHB20160829,Port Hacking,PHB,151.22667,-34.11923,2016-08-30 09:20:00,9.39953,15,FPZ
NRS,PHB20160719,Port Hacking,PHB,151.22667,-34.11923,2016-07-19 10:19:00,6.17087,11,FPZ
NRS,ROT20160413,Rottnest Island,ROT,115.41667,-32,2016-04-13 09:30:00,28.77776,16,FPZ
NRS,ROT20210407,Rottnest Island,ROT,115.41667,-32,2021-04-07 09:24:00,,13.5,PZ
NRS,ROT20170626,Rottnest Island,ROT,115.41667,-32,2017-06-26 09:46:00,13.58731,16,FPZ
NRS,ROT20110324,Rottnest Island,ROT,115.41667,-32,2011-03-24 09:35:00,4.62864,13.5,PZ
NRS,ROT20120130,Rottnest Island,ROT,115.41667,-32,2012-01-30 11:09:00,13.79949,15,PZ
NRS,ROT20120329,Rottnest Island,ROT,115.41667,-32,2012-03-29 10:03:00,18.98609,16.5,PZ
NRS,ROT20120504,Rottnest Island,ROT,115.41667,-32,2012-05-04 13:00:00,13.42229,12.5,PZ
NRS,ROT20120928,Rottnest Island,ROT,115.41667,-32,2012-09-28 11:41:00,14.89182,15,PZ
NRS,ROT20121126,Rottnest Island,ROT,115.41667,-32,2012-11-26 11:02:00,11.11189,22,PZ
NRS,ROT20130221,Rottnest Island,ROT,115.41667,-32,2013-02-21 12:55:00,16.02344,22,PZ
NRS,ROT20190819,Rottnest Island,ROT,115.41667,-32,2019-08-19 08:31:00,13.23044,23,FPZ
NRS,ROT20140624,Rottnest Island,ROT,115.41667,-32,2014-06-24 13:16:00,16.49495,13,PZ
NRS,ROT20170914,Rottnest Island,ROT,115.41667,-32,2017-09-14 09:45:00,4.74652,12,FPZ
NRS,ROT20161024,Rottnest Island,ROT,115.41667,-32,2016-10-24 09:35:00,7.74846,17.5,FPZ
NRS,ROT20180221,Rottnest Island,ROT,115.41667,-32,2018-02-21 10:05:00,19.60691,17.5,FPZ
NRS,ROT20170303,Rottnest Island,ROT,115.41667,-32,2017-03-03 10:30:00,14.10283,15.5,FPZ
NRS,ROT20190711,Rottnest Island,ROT,115.41667,-32,2019-07-11 09:26:00,13.73013,13,FPZ
NRS,ROT20210224,Rottnest Island,ROT,115.41667,-32,2021-02-24 08:33:00,,17,PZ
NRS,ROT20161004,Rottnest Island,ROT,115.41667,-32,2016-10-04 10:38:00,19.42617,16,FPZ
NRS,ROT20130712,Rottnest Island,ROT,115.41667,-32,2013-07-12 12:35:00,12.44783,19,PZ
NRS,YON20110720,Yongala,YON,147.61842,-19.30847,2011-07-20 11:37:00,8.37953,18,PZ
NRS,YON20120816,Yongala,YON,147.61842,-19.30847,2012-08-16 00:00:00,4.13477,18,PZ
NRS,YON20120918,Yongala,YON,147.61842,-19.30847,2012-09-18 11:00:00,3.06027,21,PZ
NRS,YON20121219,Yongala,YON,147.61842,-19.30847,2012-12-19 10:20:00,43.52391,18,PZ
NRS,YON20130611,Yongala,YON,147.61842,-19.30847,2013-06-11 13:34:00,37.72979,11,PZ
NRS,YON20161207,Yongala,YON,147.61842,-19.30847,2016-12-07 10:15:00,18.51126,11,PZ
NRS,YON20191009,Yongala,YON,147.61842,-19.30847,2019-10-09 10:00:00,10.29068,14,PZ
NRS,YON20200212,Yongala,YON,147.61842,-19.30847,2020-02-13 09:47:00,33.71743,17,PZ
NRS,YON20210310,Yongala,YON,147.61842,-19.30847,2021-03-10 10:05:00,,13,PZ
NRS,YON20140910,Yongala,YON,147.61842,-19.30847,2014-09-10 10:35:00,6.51498,18,PZ
NRS,YON20160601,Yongala,YON,147.61842,-19.30847,2016-06-01 10:46:00,26.38637,12,PZ
NRS,YON20160624,Yongala,YON,147.61842,-19.30847,2016-06-24 10:00:00,12.20029,19,PZ
NRS,YON20120726,Yongala,YON,147.61842,-19.30847,2012-07-26 11:00:00,19.04171,14,PZ
NRS,YON20171215,Yongala,YON,147.61842,-19.30847,2017-12-15 10:44:00,34.71906,13,PZ
NRS,YON20140527,Yongala,YON,147.61842,-19.30847,2014-05-27 12:12:00,17.02873,16,PZ
NRS,YON20181123,Yongala,YON,147.61842,-19.30847,2018-11-23 10:05:00,18.65761,13,PZ
NRS,YON20150601,Yongala,YON,147.61842,-19.30847,2015-06-01 12:55:00,10.48654,12,PZ
NWS,NWS_2.2,North West Shelf,NWS,120.6191,-18.1717,2015-01-19 23:55:01,,,P
NWS,NWS_4.3,North West Shelf,NWS,120.6191,-18.1717,2015-01-21 00:15:02,,,P
NWS,NWS_10.1,North West Shelf,NWS,120.6191,-18.1717,2015-01-23 00:00:00,,,P
