SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_L,BIOVOLUME_UM3L
29,Flagellate <10 µm round,Flagellate,(null),(null),146222,165414,10826311.84
29,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,109519,56,17484.49
29,Grammatophora spp.,Pennate diatom,Grammatophora,spp.,149335,56,224000
29,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,226,1799848.33
29,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,19,3730638.13
29,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,19,14007.3
29,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,56,5805658.32
29,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,149135,19,671514.86
29,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,2011,8558560.01
29,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,188,66444.63
29,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,232069,19,402908.92
29,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,75,154687.5
29,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,56,336000
29,Prasinophytes,Flagellate,(null),(null),17329,8459,2214559.15
29,Prymnesiophytes,Flagellate,(null),(null),115057,6579,3444753.44
29,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,2857,571400
29,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,714,214200
29,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,169,7645373.42
29,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,2801,1149813.56
29,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,338,169000
29,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,282,8883000
29,Thalassiosira gravida,Centric diatom,Thalassiosira,gravida,149102,19,238760.84
29,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,38,119380.42
29,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,840626,19,5372118.9
29,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,837459,38,666540.68
29,Tripos muelleri type,Dinoflagellate,Tripos (Tripoceratium),muelleri type,494057,19,1233597.67
29,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,940,283497.08
30,Actinocyclus spp.,Centric diatom,Actinocyclus,spp.,148944,60,848229.3
30,Amphora spp.,Pennate diatom,Amphora,spp.,149200,20,1466075.33
30,Chrysophyceae,Flagellate,(null),(null),146230,40,31415.9
30,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,28607,22467866.28
30,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,199,39800
30,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,72139,42493342.69
30,Flagellate <10 µm round,Flagellate,(null),(null),146222,179104,11722319.49
30,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,109519,119,37154.54
30,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,20,159278.61
30,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,60,44233.59
30,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,109476,100,2748891.25
30,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,40,577267.16
30,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,40,376990.8
30,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,232069,40,848229.3
30,Prasinophytes,Flagellate,(null),(null),17329,6219,1628129.02
30,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,40,4804035.65
30,Prymnesiophytes,Flagellate,(null),(null),115057,11194,5861159.74
30,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,517,103400
30,Raphidophytes,Flagellate,(null),(null),160581,60,62831.8
30,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,119,560773.82
30,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,60,24630.07
30,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,8706,2625665.52
31,Chrysophyceae,Flagellate,(null),(null),146230,19,14922.55
31,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,39505,31027128.24
31,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,94,18800
31,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,75,605246.95
31,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,116634,68703039.01
31,Flagellate <10 µm round,Flagellate,(null),(null),146222,158020,10342376.08
31,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,38,28014.61
31,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,75,7775435.25
31,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,19,179070.63
31,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,301,1063820.91
31,Prasinophytes,Flagellate,(null),(null),17329,18812,4924965.92
31,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,19,726569.13
31,Prymnesiophytes,Flagellate,(null),(null),115057,15050,7880154.92
31,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,226,45200
31,Synedra spp.,Pennate diatom,Synedra,spp.,149186,470,11280000
31,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,169,84500
31,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,38,119380.42
31,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,30099,9077636.87
31,Unid dinoflagellate > 10 µm,Dinoflagellate,(null),(null),146203,470,2953094.6
32,Amphora spp.,Pennate diatom,Amphora,spp.,149200,19,1392771.57
32,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,135,5608916.25
32,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,19,111919.14
32,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,39,14702.64
32,Chrysophyceae,Flagellate,(null),(null),146230,58,45553.06
32,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,14479,11371770.4
